index,text,label,dataset,split,document_length,unique_words,token_count
4004,"DNA sequence analysis of three inhibitor-positive hemophilia B patients without gross gene deletion: identification of four novel mutations in factor IX gene.  Three hemophilia B patients with anti-factor IX antibodies who had no detectable gross deletion of the factor IX gene by Southern blotting analysis were investigated at the molecular level.  All eight exons, accompanied by their splicing junction sites and presumptive promoter regions of the factor IX gene in these patients (total 5.5 kb in length) were amplified with the use of the polymerase chain reaction, followed by complete nucleotide sequence analysis.  Three different types of novel single base substitutions and a 2 base-pair nucleotide deletion were identified.  Patient HB-5 had two point mutations in his factor IX gene.  One was located at the promoter region at nucleotide -793 and the other (C-to-T transition) was found in exon VI of the gene changing Gln-191 to a stop codon.  Patient HB-6 had a point mutation (G-to-A) in the splice acceptor site, which interrupted the normal splicing of the last intron G.  A small two-nucleotide deletion in exon III was detected in patient HB-7 and yielded frameshifted amino acids and terminated by a stop codon.  These resuslts suggest that not only the gross gene deletion of factor IX gene but also the point mutations or small nucleotide deletion that may cause the interruption of coding informations for mature protein synthesis is predisposed to development of anti-factor IX inhibitors in patients with hemophilia B.",22,Ohsumed,test,237,126,354
149,"Modulation of mediator release from human intestinal mast cells by sulfasalazine and 5-aminosalicylic acid.  Intestinal mast cells are thought to contribute to the mucosal inflammation in ulcerative colitis and Crohn's disease through release of inflammatory mediators.  Since sulfasalazine and its metabolite 5-aminosalicylic acid are effective therapeutic agents in inflammatory bowel disease and have been shown to inhibit generation of inflammatory products in other cells, we examined the effect of these agents in vitro on human intestinal mast cell mediator release.  Sulfasalazine (5 x 10(-4)-10(-3) M) was found to significantly enhance goat anti-human IgE-induced histamine release from intestinal mast cells, which is the same response as seen in human blood basophils, whereas its metabolite 5-aminosalicylic acid was an effective inhibitor of stimulated histamine release in both mast cells and basophils.  5-Aminosalicylic acid also inhibited production of prostaglandin D2 by the stimulated intestinal mast cells.  Sulfasalazine alone, without immunologic stimulation, did not induce histamine release from mast cells or basophils, but the enhancement of ongoing mast cell activation by sulfasalazine may explain some cases of adverse reactions to the drug.  The inhibition of mast cell histamine release and prostaglandin generation by 5-aminosalicylic acid demonstrates a potential therapeutic modality of this agent.",5,Ohsumed,test,198,103,334
2025,"Multidisciplinary baseline assessment of homosexual men with and without human immunodeficiency virus infection. I. Overview of study design.  Although much is known about the virus believed by most experts to be the cause of the acquired immunodeficiency syndrome and about its pathogenic actions, major areas of ignorance remain.  Among these are the reasons for the varying time between infection with human immunodeficiency virus and development of acquired immunodeficiency syndrome, the relationship between neurologic and medical aspects of the disease, the time course of neuropsychological findings, and the prevalence of psychiatric morbidity.  We assessed 124 homosexual men who were positive for human immunodeficiency virus and 84 who were negative for the virus.  In this article we describe the study design, method of recruitment, and medical and demographic characteristics of the cohort, which will be followed up for 5 years.",1,Ohsumed,test,136,80,188
2505,"Prediction of free phenytoin levels based on [total phenytoin]/[albumin] ratios. Potential errors with hypoalbuminemia.  Therapeutic monitoring of the pharmacologically active (free drug) fraction of protein-bound medications (e.g., phenytoin) represents a major diagnostic challenge in clinical and laboratory medicine.  While free drug levels may be beneficial in many clinical situations, current methods for predicting free phenytoin concentrations are unreliable and not recommended for general use.  The authors have demonstrated a linear relationship (r2 = 0.98) between serum levels of total and bound phenytoin in 56 patients with seizure disorders.  No significant correlations were observed when total phenytoin and albumin levels were compared independently to measured concentrations of free phenytoin or percent free phenytoin.  A good correlation (r2 = 0.89) existed between free phenytoin levels and [total phenytoin]/[albumin] ratios in patients with normal or elevated albumin levels, but significantly weaker correlations were found in patients with hypoalbuminemia.  Thus, [total phenytoin]/[albumin] ratios may have clinical value in predicting free phenytoin levels in uncomplicated patients without hypoalbuminemia.",9,Ohsumed,test,161,89,282
3203,"Prevalence of Chlamydia trachomatis infection in women having cervical smear tests   OBJECTIVE--To determine the prevalence of sexually transmitted diseases in patients with normal and abnormal cervical smears.  DESIGN--A prospective study of asymptomatic women with normal cervical smears attending their general practitioner and newly referred patients with abnormal smears attending a colposcopy clinic.  SETTING--A hospital based colposcopy clinic and an urban general practice (list size 5500) in north west Glasgow.  SUBJECTS--197 asymptomatic women attending their general practitioner for cervical smear tests and 101 randomly selected patients attending the colposcopy clinic for investigation of abnormal smears.  MAIN OUTCOME MEASURES--Presence of various sexually transmitted infections as determined by culture and serological tests.  RESULTS--Of the 101 women with cytological abnormalities, six had current chlamydial infection proved by culture and none had gonococcal infection; of the 197 women with normal smears, 24 (12%) had a chlamydial infection and two had gonorrhoea.  Serological studies for Chlamydia trachomatis specific antibody also indicated that a large proportion of patients had been exposed to this agent in both groups.  There was no significant difference between the groups in the prevalence of any sexually transmitted disease studied.  CONCLUSION--A high prevalence of chlamydial infection is present in women in north west Glasgow irrespective of their cervical cytological state.",0,Ohsumed,test,208,109,310
3809,"Shr 38 cts vs 30 cts Net 3,649,000 vs 2,789,000 Sales 137.4 mln vs 119.2 mln",2,R8,train,18,13,37
149,"The Iranian steam tanker Avaj, 316,379 tonnes dw, was attacked and hit at 1715 hours on March 21, Lloyds Shipping Intelligence service reported. One person was killed. The tanker is owned by the National Iranian Tanker Co.",6,R8,train,38,32,51
3123,"Shr 23 cts vs 46 cts Net 987,000 vs 1,990,000 Revs 14.6 mln vs 15.0 mln Year Shr 89 cts vs 1.32 dlrs Net 3,846,000 vs 5,690,000 Revs 58.1 mln vs 56.6 mln",2,R8,train,37,21,74
3367,"<Golden Rule Resources Ltd> and Goldsil Resources Ltd said they had agreed to merge. The merged company will issue to each Golden Rule shareholder 1-1/2 shares and one warrant. The warrant will be for a term of two years. Payment of 3.10 dlrs and delivery of two warrants will entitle the shareholder to one additional share of the merged company, the companies said. Each Goldsil shareholder will receive one share and one-half warrant. The warrant will be for a term of two years. Payment of 3.10 dlrs and delivery of two warrants will entitle the shareholder to one additional share of the merged company.",0,R8,train,102,39,136
3196,"The stock of Philip Morris Cos rose today following recommendations by First Boston Corp and Morgan Stanley and Co, traders said. Philip Morris gained 1-3/4 to 88-1/4. First Boston's analyst was unavailable for comment. Morgan Stanley's David Hill said he just assumed coverage of Philip Morris and placed it on his recommended list becasue of its attractive earnings growth and because the stock is selling at a discount to the market based on Morgan's figures. Hill expects Morris to earn 7.75 dlrs a share this year and 9.50 dlrs in 1988. In 1986, Morris earned 6.20 dlrs a share.",2,R8,train,95,66,135
628,"Genova Inc said it signed a definitive agreement for the previously announced merger with <Genova Products Inc>. Under the agreement, Genova Products will pay 5-3/8 dlrs a share for the 29 pct of Genova's outstanding common shares it does not already own. The company said it plans to complete the transaction, which requires shareholder approval, by the end of March.",0,R8,validation,57,41,82
631,"Amoskeag Bank said it signed an agreement to acquire <Entrepo Financial Resources Inc>, a Philadelphia-based company which leases and remarkets high technology equipment. Terms of the acquisition were not disclosed. It said Entrepo has assets of 20 mln dlrs.",0,R8,validation,39,35,58
741,"<Principal Neo-Tech Inc> said it completed the sale of its subsidiary, Neo-Tech Inc, to Seismic Holdings Inc and Energy Holdings Inc, of Denver, Colo. As part of the price, Principal Neo-Tech received notes and preferred shares of Energy Holdings. However, terms were not disclosed.",0,R8,validation,47,31,64
514,"U.K. Chancellor of the Exchequer Nigel Lawson said the United States and Japan must work to avert a possible trade war, and he added that a trade war would not be in the interests of Britain. Lawson told journalists that ""the prospects for the (U.K.) economy look very very good - providing we can avoid a trade war."" He stressed that ""a heavy responsiblity in different ways lies on Japan and the United States to ensure that we do avoid such a trade war."" Asked whether he believed such a trade war could be averted, Lawson replied, ""I very much hope so."" Britain last week warned that it would retaliate if Japan did not move soon to open its markets to outside competition. Prime Minister Margaret Thatcher gave notice that the U.K. Would fight the Japanese government's attempt to prevent (Cable and Wireless Plc) (CAWL.L) from taking a significant position in a new Japanese international telecommunications venture. But British officials are now trying to dampen anti-Japanese rhetoric, to try to keep developments under control. The British Conservative government will on Thursday consider what legal options are available to it to try to increase U.K. Access to Japanese markets, officials said.",7,R8,validation,187,119,255
365,"Shr 47.1p vs 37.7 Shr fully diluted 42.2p vs 33.6 Div 11p vs 7 making 16 vs 10 Turnover 1.83 billion stg vs 1.76 billion Pretax profit 115.3 mln vs 81.3 mln Tax 30.5 mln vs 16.2 mln Retail profit - B and Q 45.5 mln vs 33.1 mln Comet 17.4 mln vs 11.9 mln Woolworth 38.7 mln vs 17.6 mln Other 4.6 mln loss vs 600,000 loss Property income 49.4 mln vs 48.0 mln Net interest payable 31.1 mln vs 28.7 mln Extraordinary debit 16.0 mln vs 29.1 mln",2,R8,validation,88,51,170
1593,"The New York Times Co said it had an agreement to buy the Gwinnett Daily News, an evening newspaper published in Lawrenceville, Ga., Terms were not disclosed. The company said Gwinnett has a weekday circulation of about 27,500 and a Sunday circulation of about 30,900. The New York Times also said Gwinnett County, a northeast suburb of Atlanta, is the fastest-growing county in the country. The purchase agreement includes the Forsyth County News, published on Wednesday and Sunday and the Winder News, a weekly, among other publications.",0,R8,test,86,56,116
526,"Shr 1.15 dlrs vs 1.22 dlrs Net 3,301,000 vs 3,466,000 Revs 21.2 mln vs 20.8 mln Nine Mths Shr 2.38 dlrs vs 2.58 dlrs Net 6,873,000 vs 7,397,000 Revs 51.6 mln vs 50.3 mln",2,R8,test,38,21,84
393,"The Justice Department said it asked the government to proceed cautiously on a plan allowing the nation's two largest intercity bus companies to merge their operations, a move one of the firms said may derail the deal. Justice's opposition to quick federal approval of a bid by Greyhound Lines Inc to take immediate control Trailways Corp prompted Greyhound to threaten -- in a brief filed with the Interstate Commerce Commission (ICC) -- to drop the merger plan. Greyhound officials told s late today the company hoped for ICC action on the merger by tomorrow. ""Greyhound Lines will go forward with the transaction only if it is permitted to assume immediate, unconditional control of Trailways' operations and to integrate them with its operations,"" Greyhound said in a filing with the ICC, the federal regulatory agency which has the final say over mergers of interstate bus companies. But Justice had said in an earlier filing with the ICC that it wanted the agency to move slowly on the plan and to turn down Greyhound's request to begin operating Trailways immediately. ""The department has just begun to receive relevant information on Trailways' financial condition and is in the process of assessing the correctness of the company's allegations,"" acting Assistant Attorney General Charles Rule said in comments submitted to the ICC. Greyhound announced June 19 that it wanted the ICC to let it begin operating Trailways immediately while continuing to evaluate the merger for possible antitrust problems. Greyhound said it would pay 80 mln dlrs for many of Trailways' terminals, buses and garages. The two companies said in papers filed with the ICC that Trailways ""could collapse in a matter of days."" They said Trailways owed suppliers more than six mln dlrs, with another six mln dlrs due June 30. The suppliers, they said, could force Trailways into bankruptcy ""at any time."" Trailways also owes a consortium of banks 76 mln dlrs, and the consortium has threatened to call the loan if Trailways fails to pay the interest due June 30, they said.",0,R8,test,329,168,412
1403,"Entre Computer Centers Inc said it is discontinuing its European and Australian operations. The company today reported a loss for the second quarter ended February 28 of 2,733,000 dlrs, after a 6,705,000 dlr pretax provision for the shutdown of the overseas units and a 2,511,000 dlr tax credit. A year earlier it earned 911,000 dlrs. It said the overseas operations lost 400,000 dlrs in the second quarter and did not appear strong enough to provide for future growth.",2,R8,test,79,55,116
433,"Federal Reserve Board Vice Chairman Manuel Johnson said the Louvre Accord is still healthy, but said the United States and West Germany must work out differences over their respective roles in fulfilling the accord. ""The Louvre Accord has worked very well in terms of stabilizing exchange rates,"" he said in response to a question during an American Stock Exchange conference here. He said exchange rates have been stable so far in 1987 as a result of the accord.",5,R8,test,76,57,89
